Code,Enum,Reference
0x00,NOT_SET,[RFC8907]   # TAC_PLUS_AUTHEN_METH_NOT_SET
0x01,NONE,[RFC8907]      # TAC_PLUS_AUTHEN_METH_NONE
0x02,KRB5,[RFC8907]      # TAC_PLUS_AUTHEN_METH_KRB5
0x03,LINE,[RFC8907]      # TAC_PLUS_AUTHEN_METH_LINE
0x04,ENABLE,[RFC8907]    # TAC_PLUS_AUTHEN_METH_ENABLE
0x05,LOCAL,[RFC8907]     # TAC_PLUS_AUTHEN_METH_LOCAL
0x06,TACACSPLUS,[RFC8907]# TAC_PLUS_AUTHEN_METH_TACACSPLUS
0x08,GUEST,[RFC8907]     # TAC_PLUS_AUTHEN_METH_GUEST
0x10,RADIUS,[RFC8907]    # TAC_PLUS_AUTHEN_METH_RADIUS
0x11,KRB4,[RFC8907]      # TAC_PLUS_AUTHEN_METH_KRB4
0x20,RCMD,[RFC8907]      # TAC_PLUS_AUTHEN_METH_RCMD
